stop_id,stop_name,transport,transfer_ability
s001,Залізничний вокзал,трамвай,yes
s002,Епіцентр,трамвай,no
s003,Муніципальний ринок,трамвай,no
s004,ВТК,трамвай,no
s005,Школа №30,трамвай,no
s006,МПМ “Зоря”,трамвай,no
s007,вул. Янгеля,трамвай,no
s008,Педагогічний Університет,трамвай,no
s009,Площа Перемоги,трамвай,yes
s010,Музей Коцюбинського,трамвай,yes
s011,Соборна,трамвай,yes
s012,Майдан Небесної Сотні,трамвай,yes
s013,Валентина Отамановського,трамвай,yes
s014,Лікарня Пирогова,трамвай,yes
s015,Медичний Університет,трамвай,yes
s016,Академіка Заболотного,трамвай,yes
s017,Дачна,трамвай,yes
s018,Зодчих,трамвай,yes
s019,Електромережа,трамвай,yes
s020,Барське шосе,трамвай,no
s021,Героїв пожежників,трамвай,no
s022,Стельмаха,трамвай,no
s023,100-річчя Вінницького трамваю,трамвай,no
s024,9-ий мікрорайон,трамвай,no
s025,Ринок Вишенька,трамвай,yes
s026,Миколи Ващука,трамвай,yes
s027,Політехнічна,трамвай,yes
s028,Юності,трамвай,yes
s029,Космонавтів,трамвай,yes
s030,Космонавтів – 2,трамвай,yes
s031,600-річчя,трамвай,yes
s032,Лялі Ратушної,трамвай,yes
s033,Шевченка,трамвай,yes
s034,Площа Калічанська,трамвай,yes
s035,Площа Василя Стуса,трамвай,no
s036,Данила Галицького,трамвай,no
s037,Палац Школярів,трамвай,no
s038,Олександра Музики,трамвай,no
s039,Праведників Світу,трамвай,no
s040,Лісопарк,трамвай,no
s041,Технічний Університет,трамвай,no
s042,Обласна дитяча лікарня,трамвай,no
s043,Лугова,тролейбус,no
s044,Степана Тимошенка,тролейбус,no
s045,Ринок Мрія,тролейбус,no
s046,Інструментальний завод,тролейбус,no
s047,Промислова,тролейбус,no
s048,Гетьмана Мазепи,тролейбус,no
s049,Олега Антонова,тролейбус,no
s050,Авіаційний завод,тролейбус,no
s051,Гетьмана Мазепи-2,тролейбус,no
s052,Волошкова,тролейбус,no
s053,Максима Шимка,тролейбус,no
s054,Зої Ткаченко,тролейбус,no
s055,Привокзальна,тролейбус,yes
s056,Олександра Довженка,тролейбус,no
s057,Замостянська,тролейбус,no
s058,Музей Коцюбинського,тролейбус,yes
s059,Героїв Чорнобиля,тролейбус,no
s060,Стеценка,тролейбус,no
s061,Стрілецька,тролейбус,no
s062,Лікарня Швидкої допомоги,тролейбус,no
s063,Георгія Нарбута,тролейбус,no
s064,Гонти,тролейбус,no
s065,Павла Корнелюка,тролейбус,no
s066,Школа 29,тролейбус,no
s067,Водоканал,тролейбус,no
s068,Зоопарк,тролейбус,no
s069,МЗЗ,тролейбус,no
s070,Завод Аграна-Фрут,тролейбус,no
s071,Енергетична,тролейбус,no
s072,Елеватормлинмонтаж,тролейбус,no
s073,Батозька,тролейбус,no
s074,ЦПТО 1,тролейбус,no
s075,Мікрорайон ВПЗ,тролейбус,no
s076,Генріха Лютворта,тролейбус,no
s077,Миколи Ващука,тролейбус,yes
s078,Політехнічна,тролейбус,yes
s079,Юності,тролейбус,yes
s080,Космонавтів,тролейбус,yes
s081,600-річчя,тролейбус,yes
s082,Лялі Ратушної,тролейбус,yes
s083,Шевченка,тролейбус,yes
s084,Ринок Урожай,тролейбус,yes
s085,Лікарня Пирогова,тролейбус,yes
s086,Валентина Отамановського,тролейбус,yes
s087,Майдан Небесної Сотні,тролейбус,yes
s088,Чорновола,тролейбус,yes
s089,Соборна,тролейбус,yes
s090,Майдан Незалежності,тролейбус,yes
s091,Залізничний вокзал,тролейбус,yes
s092,Євгена Пікуса,тролейбус,yes
s093,Центральний ринок,тролейбус,no
s094,Площа Перемоги,тролейбус,yes
s095,Вінничина -авто,тролейбус,no
s096,Ігоря Савченка,тролейбус,no
s097,Миколи Битинського,тролейбус,no
s098,Степана Тимошенка,тролейбус,no
s099,Дмитра Білоконя,тролейбус,no
s100,Князів Коріатовичів,тролейбус,no
s101,Санаторна,тролейбус,no
s102,Скалецького,тролейбус,no
s103,Академіка Заболотного,тролейбус,yes
s104,Дачна,тролейбус,yes
s105,Зодчих,тролейбус,yes
s106,Храм Стрітення,тролейбус,no
s107,Вінницькі МЕМ,тролейбус,no
s108,Ботанічний сад,тролейбус,no
s109,Гніванське шосе,тролейбус,no
s110,Аграрний університет,тролейбус,no
s111,Гаспринського,тролейбус,no
s112,Грушевського,тролейбус,yes
